# EHPower estimated for Planck15 cosmology at a=0.01 with nbodykit
# k, P(k)
3.226668706854930410e-04 2.207886352557044130e-01
3.256539709193885827e-04 2.227567473060908521e-01
3.286687243418134224e-04 2.247422699276129254e-01
3.317113869531616204e-04 2.267453536406034142e-01
3.347822171237604255e-04 2.287661501761082961e-01
3.378814756158077508e-04 2.308048124832976777e-01
3.410094256055189546e-04 2.328614947368658761e-01
3.441663327054725178e-04 2.349363523444097657e-01
3.473524649871642146e-04 2.370295419537860604e-01
3.505680930037714002e-04 2.391412214604501929e-01
3.538134898131282849e-04 2.412715500147682990e-01
3.570889310009109472e-04 2.434206880293018904e-01
3.603946947040396207e-04 2.455887971860651331e-01
3.637310616342983097e-04 2.477760404437513997e-01
3.670983151021695642e-04 2.499825820449234348e-01
3.704967410408927637e-04 2.522085875231694363e-01
3.739266280307459089e-04 2.544542237102210835e-01
3.773882673235480489e-04 2.567196587430270460e-01
3.808819528673926431e-04 2.590050620707861628e-01
3.844079813316093647e-04 2.613106044619313284e-01
3.879666521319537491e-04 2.636364580110654998e-01
3.915582674560335783e-04 2.659827961458425261e-01
3.951831322889704824e-04 2.683497936337977952e-01
3.988415544392957834e-04 2.707376265891140998e-01
4.025338445650893625e-04 2.731464724793297716e-01
4.062603162003602508e-04 2.755765101319825883e-01
4.100212857816705144e-04 2.780279197411839598e-01
4.138170726750025437e-04 2.805008828741201721e-01
4.176479992028832972e-04 2.829955824774844642e-01
4.215143906717523843e-04 2.855122028838260051e-01
4.254165753995828737e-04 2.880509298178170474e-01
4.293548847437659980e-04 2.906119504024389788e-01
4.333296531292454954e-04 2.931954531650750040e-01
4.373412180769153577e-04 2.958016280435104006e-01
4.413899202322813659e-04 2.984306663918378510e-01
4.454761033943889048e-04 3.010827609862604670e-01
4.496001145450139141e-04 3.037581060307891767e-01
4.537623038781287929e-04 3.064568971628321981e-01
4.579630248296407639e-04 3.091793314586706587e-01
4.622026341074011264e-04 3.119256074388149780e-01
4.664814917214973227e-04 3.146959250732410673e-01
4.707999610148243491e-04 3.174904857864989105e-01
4.751584086939359460e-04 3.203094924626868623e-01
4.795572048601850525e-04 3.231531494502944968e-01
4.839967230411526045e-04 3.260216625669001278e-01
4.884773402223632679e-04 3.289152391037238887e-01
4.929994368792988378e-04 3.318340878300288788e-01
4.975633970097081147e-04 3.347784189973677660e-01
5.021696081662115193e-04 3.377484443436633565e-01
5.068184614892118876e-04 3.407443770971266273e-01
5.115103517401092207e-04 3.437664319799993984e-01
5.162456773348224814e-04 3.468148252121214248e-01
5.210248403776169190e-04 3.498897745143065841e-01
5.258482466952558955e-04 3.529914991115406520e-01
5.307163058714585652e-04 3.561202197359726873e-01
5.356294312816772861e-04 3.592761586297085197e-01
5.405880401282054954e-04 3.624595395473986237e-01
5.455925534756016302e-04 3.656705877586085007e-01
5.506433962864434048e-04 3.689095300499679042e-01
5.557409974574149380e-04 3.721765947270945230e-01
5.608857898557285731e-04 3.754720116162851284e-01
5.660782103558790069e-04 3.787960120659599750e-01
5.713186998767421938e-04 3.821488289478662814e-01
5.766077034190182681e-04 3.855306966580238082e-01
5.819456701030158814e-04 3.889418511174065896e-01
5.873330532067909653e-04 3.923825297723597116e-01
5.927703102046395951e-04 3.958529715947372019e-01
5.982579028059403997e-04 3.993534170817535922e-01
6.037962969943637577e-04 4.028841082555482123e-01
6.093859630674423574e-04 4.064452886624466688e-01
6.150273756765034473e-04 4.100372033719142939e-01
6.207210138669761118e-04 4.136600989751954560e-01
6.264673611190719462e-04 4.173142235836296843e-01
6.322669053888357697e-04 4.209998268266317289e-01
6.381201391495837242e-04 4.247171598493350575e-01
6.440275594337221444e-04 4.284664753098834655e-01
6.499896678749540312e-04 4.322480273763658620e-01
6.560069707508704153e-04 4.360620717233804622e-01
6.620799790259492739e-04 4.399088655282308302e-01
6.682092083949404222e-04 4.437886674667271270e-01
6.743951793266547050e-04 4.477017377085988903e-01
6.806384171081621484e-04 4.516483379125016961e-01
6.869394518893988562e-04 4.556287312206117046e-01
6.932988187281809156e-04 4.596431822527944355e-01
6.997170576356415757e-04 4.636919571003416118e-01
7.061947136220889879e-04 4.677753233192676330e-01
