# EHPower estimated for Planck15 cosmology at a=1.00 with nbodykit
# k, P(k)
3.911075034896208531e-05 1.668967976658915973e+02
3.947281953588242570e-05 1.683900805219058441e+02
3.983824059140524468e-05 1.698967226019054806e+02
4.020704454557552405e-05 1.714168433737749808e+02
4.057926271569993546e-05 1.729505633724869540e+02
4.095492670900632739e-05 1.744980042095987187e+02
4.133406842532736264e-05 1.760592885828308454e+02
4.171672005980979730e-05 1.776345402857330669e+02
4.210291410564813387e-05 1.792238842174319018e+02
4.249268335684354311e-05 1.808274463924645659e+02
4.288606091098911167e-05 1.824453539507020992e+02
4.328308017208007375e-05 1.840777351673561952e+02
4.368377485335011792e-05 1.857247194630739671e+02
4.408817898013466338e-05 1.873864374141256235e+02
4.449632689275990636e-05 1.890630207626763308e+02
4.490825324945859221e-05 1.907546024271501324e+02
4.532399302931357677e-05 1.924613165126865795e+02
4.574358153522784242e-05 1.941832983216866637e+02
4.616705439692199859e-05 1.959206843644504659e+02
4.659444757396035780e-05 1.976736123699117229e+02
4.702579735880421159e-05 1.994422212964632877e+02
4.746114037989332282e-05 2.012266513428760959e+02
4.790051360475686766e-05 2.030270439593188598e+02
4.834395434315224828e-05 2.048435418584690808e+02
4.879150025023300962e-05 2.066762890267219746e+02
4.924318932974693091e-05 2.085254307355009189e+02
4.969905993726288234e-05 2.103911135526627731e+02
5.015915078342747703e-05 2.122734853540027586e+02
5.062350093725285312e-05 2.141726953348632208e+02
5.109214982943394617e-05 2.160888940218410426e+02
5.156513725569646485e-05 2.180222332845953304e+02
5.204250338017678951e-05 2.199728663477633006e+02
5.252428873883227594e-05 2.219409478029750744e+02
5.301053424288302803e-05 2.239266336209737176e+02
5.350128118228657606e-05 2.259300811638443349e+02
5.399657122924373244e-05 2.279514491973455961e+02
5.449644644173689233e-05 2.299908979033481273e+02
5.500094926710206642e-05 2.320485888923859648e+02
5.551012254563290449e-05 2.341246852163105814e+02
5.602400951421874933e-05 2.362193513810598233e+02
5.654265381001566404e-05 2.383327533595325463e+02
5.706609947415259410e-05 2.404650586045813725e+02
5.759439095547085529e-05 2.426164360621122569e+02
5.812757311429815333e-05 2.447870561842982227e+02
5.866569122625865326e-05 2.469770909429115022e+02
5.920879098611726219e-05 2.491867138427668920e+02
5.975691851165946037e-05 2.514160999352806130e+02
6.031012034760815764e-05 2.536654258321512145e+02
6.086844346957572563e-05 2.559348697191538804e+02
6.143193528805258776e-05 2.582246113700537080e+02
6.200064365243388516e-05 2.605348321606433615e+02
6.257461685508212447e-05 2.628657150828961448e+02
6.315390363542825391e-05 2.652174447592449837e+02
6.373855318410986644e-05 2.675902074569799538e+02
6.432861514714906443e-05 2.699841911027750712e+02
6.492413963016779703e-05 2.723995852973356477e+02
6.552517720264218817e-05 2.748365813301700769e+02
6.613177890219757642e-05 2.772953721944948029e+02
6.674399623894192190e-05 2.797761526022598559e+02
6.736188119983947795e-05 2.822791189993054672e+02
6.798548625312613662e-05 2.848044695806510731e+02
6.861486435276432060e-05 2.873524043059111364e+02
6.925006894293933221e-05 2.899231249148425036e+02
6.989115396259832518e-05 2.925168349430291528e+02
7.053817385003021854e-05 2.951337397376952936e+02
7.119118354748794864e-05 2.977740464736535273e+02
7.185023850585476690e-05 3.004379641693940357e+02
7.251539468935248259e-05 3.031257037033044526e+02
7.318670858029327703e-05 3.058374778300285470e+02
7.386423718387682383e-05 3.085735011969670154e+02
7.454803803303049268e-05 3.113339903609158910e+02
7.523816919329437132e-05 3.141191638048426285e+02
7.593468926775282684e-05 3.169292419548111184e+02
7.663765740201041094e-05 3.197644471970442055e+02
7.734713328921378952e-05 3.226250038951295664e+02
7.806317717512153975e-05 3.255111384073759382e+02
7.878584986321956508e-05 3.284230791043120234e+02
7.951521271988372711e-05 3.313610563863287553e+02
8.025132767959182228e-05 3.343253027014792451e+02
8.099425725018235547e-05 3.373160525634198166e+02
8.174406451816187220e-05 3.403335425695026970e+02
8.250081315406304519e-05 3.433780114190251993e+02
8.326456741785081802e-05 3.464496999316260144e+02
8.403539216437855774e-05 3.495488510658352084e+02
8.481335284889631690e-05 3.526757099377838358e+02
8.559851553260831836e-05 3.558305238400646999e+02
8.639094688828295612e-05 3.590135422607512510e+02
8.719071420591361819e-05 3.622250169025726905e+02
8.799788539843382790e-05 3.654652017022538075e+02
8.881252900748353254e-05 3.687343528500087473e+02
8.963471420922884312e-05 3.720327288091970672e+02
9.046451082023728525e-05 3.753605903361454352e+02
9.130198930340575588e-05 3.787182005001306493e+02
9.214722077394347610e-05 3.821058247035235809e+02
9.300027700541178334e-05 3.855237307021066044e+02
9.386123043581841817e-05 3.889721886255517234e+02
9.473015417376797289e-05 3.924514709980643943e+02
9.560712200467121221e-05 3.959618527592048167e+02
9.649220839700978312e-05 3.995036112848711696e+02
9.738548850866023067e-05 4.030770264084579253e+02
9.828703819327524603e-05 4.066823804421824775e+02
9.919693400672605001e-05 4.103199581985912232e+02
1.001152532136026052e-04 4.139900470122342995e+02
1.010420737937740420e-04 4.176929367615152273e+02
1.019774744490116431e-04 4.214289198907252967e+02
1.029215346096707545e-04 4.251982914322431952e+02
1.038743344414361355e-04 4.290013490289226183e+02
1.048359548521295967e-04 4.328383929566572306e+02
1.058064774985797079e-04 4.367097261471227512e+02
1.067859847935560710e-04 4.406156542107054293e+02
1.077745599127678312e-04 4.445564854596118494e+02
1.087722868019259394e-04 4.485325309311603519e+02
1.097792501838717956e-04 4.525441044112598092e+02
1.107955355657717970e-04 4.565915224580755307e+02
1.118212292463781457e-04 4.606751044258794536e+02
1.128564183233561846e-04 4.647951724890868945e+02
1.139011907006817195e-04 4.689520516664880461e+02
1.149556350961046937e-04 4.731460698456654654e+02
1.160198410486825907e-04 4.773775578076012494e+02
1.170938989263839712e-04 4.816468492514802620e+02
1.181778999337624697e-04 4.859542808196846408e+02
1.192719361197008436e-04 4.903001921229805475e+02
1.203761003852276784e-04 4.946849257659009709e+02
1.214904864914066117e-04 4.991088273723288466e+02
1.226151890672973178e-04 5.035722456112666805e+02
1.237503036179913977e-04 5.080755322228147861e+02
1.248959265327226993e-04 5.126190420443437006e+02
1.260521550930515525e-04 5.172031330368623685e+02
1.272190874811257263e-04 5.218281663115933497e+02
1.283968227880183225e-04 5.264945061567476614e+02
1.295854610221411308e-04 5.312025200644964116e+02
1.307851031177374550e-04 5.359525787581527538e+02
1.319958509434534632e-04 5.407450562195559769e+02
1.332178073109875193e-04 5.455803297166537504e+02
1.344510759838211001e-04 5.504587798312995801e+02
1.356957616860300522e-04 5.553807904872500103e+02
1.369519701111772999e-04 5.603467489783721476e+02
1.382198079312869758e-04 5.653570459970519551e+02
1.394993828059041500e-04 5.704120756628240088e+02
1.407908033912359553e-04 5.755122355511979322e+02
1.420941793493775516e-04 5.806579267226965158e+02
1.434096213576257204e-04 5.858495537521146161e+02
1.447372411178761604e-04 5.910875247579746201e+02
1.460771513661086570e-04 5.963722514322016650e+02
1.474294658819603977e-04 6.017041490700098620e+02
1.487942994983881384e-04 6.070836366000027056e+02
1.501717681114184057e-04 6.125111366144791418e+02
1.515619886899893700e-04 6.179870753999634871e+02
1.529650792858839258e-04 6.235118829679428245e+02
1.543811590437531138e-04 6.290859930858199505e+02
1.558103482112338143e-04 6.347098433080807354e+02
1.572527681491603868e-04 6.403838750076811266e+02
1.587085413418688729e-04 6.461085334076420850e+02
1.601777914075985885e-04 6.518842676128642779e+02
1.616606431089896397e-04 6.577115306421625291e+02
1.631572223636762833e-04 6.635907794605070649e+02
1.646676562549798432e-04 6.695224750114878134e+02
1.661920730427005879e-04 6.755070822499965288e+02
1.677306021740079995e-04 6.815450701751176439e+02
1.692833742944334721e-04 6.876369118632411528e+02
1.708505212589644376e-04 6.937830845013940007e+02
1.724321761432408132e-04 6.999840694207803153e+02
1.740284732548540419e-04 7.062403521305416234e+02
1.756395481447540368e-04 7.125524223517379596e+02
1.772655376187584489e-04 7.189207740515363412e+02
1.789065797491687815e-04 7.253459054776150197e+02
1.805628138864968501e-04 7.318283191927935150e+02
1.822343806712967346e-04 7.383685221098652391e+02
1.839214220461071856e-04 7.449670255266471486e+02
1.856240812675051326e-04 7.516243451612471063e+02
1.873425029182709486e-04 7.583410011875429291e+02
1.890768329196648701e-04 7.651175182708690272e+02
1.908272185438184259e-04 7.719544256039192760e+02
1.925938084262407901e-04 7.788522569428633915e+02
1.943767525784391935e-04 7.858115506436639635e+02
1.961762024006578117e-04 7.928328496986089249e+02
1.979923106947346402e-04 7.999167017730569569e+02
1.998252316770756818e-04 8.070636592423767297e+02
2.016751209917508076e-04 8.142742792290999887e+02
2.035421357237112111e-04 8.215491236402854156e+02
2.054264344121269656e-04 8.288887592050676858e+02
2.073281770638503755e-04 8.362937575124258274e+02
2.092475251670035234e-04 8.437646950491445068e+02
2.111846417046900392e-04 8.513021532379693781e+02
2.131396911688354559e-04 8.589067184759678639e+02
2.151128395741557994e-04 8.665789821730805897e+02
2.171042544722544666e-04 8.743195407908676771e+02
2.191141049658486110e-04 8.821289958814363672e+02
2.211425617231312438e-04 8.900079541265788521e+02
2.231897969922620837e-04 8.979570273770762014e+02
2.252559846159940407e-04 9.059768326921944208e+02
2.273413000464355503e-04 9.140679923793651369e+02
2.294459203599499776e-04 9.222311340340456809e+02
2.315700242721908996e-04 9.304668905797453817e+02
2.337137921532784145e-04 9.387759003082418303e+02
2.358774060431163442e-04 9.471588069199588062e+02
2.380610496668487551e-04 9.556162595645123474e+02
2.402649084504618717e-04 9.641489128814212108e+02
2.424891695365304599e-04 9.727574270409855899e+02
2.447340218001077040e-04 9.814424677853146477e+02
2.469996558647643246e-04 9.902047064695130985e+02
2.492862641187766387e-04 9.990448201030228574e+02
2.515940407314613391e-04 1.007963491391101456e+03
2.539231816696648002e-04 1.016961408776446092e+03
2.562738847144043343e-04 1.026039266480970127e+03
2.586463494776612367e-04 1.035197764547688394e+03
2.610407774193321782e-04 1.044437608882753693e+03
2.634573718643364515e-04 1.053759511297608924e+03
2.658963380198815112e-04 1.063164189551263462e+03
2.683578829928863203e-04 1.072652367392672659e+03
2.708422158075712827e-04 1.082224774603246260e+03
2.733495474232060371e-04 1.091882147039449819e+03
2.758800907520217232e-04 1.101625226675496606e+03
2.784340606772937941e-04 1.111454761646154338e+03
2.810116740715870782e-04 1.121371506289623085e+03
2.836131498151715498e-04 1.131376221190492970e+03
2.862387088146091320e-04 1.141469673222781466e+03
2.888885740215131593e-04 1.151652635593045943e+03
2.915629704514786013e-04 1.161925887883540554e+03
2.942621252031906386e-04 1.172290216095435881e+03
2.969862674777094748e-04 1.182746412692090871e+03
2.997356285979315489e-04 1.193295276642350927e+03
3.025104420282334898e-04 1.203937613463888056e+03
3.053109433942977286e-04 1.214674235266560572e+03
3.081373705031189019e-04 1.225505960795785313e+03
3.109899633631986893e-04 1.236433615475920533e+03
3.138689642049269715e-04 1.247458031453646754e+03
3.167746175011494701e-04 1.258580047641333294e+03
3.197071699879278344e-04 1.269800509760383648e+03
3.226668706854930410e-04 1.281120270384562446e+03
3.256539709193885827e-04 1.292540188983262397e+03
3.286687243418134224e-04 1.304061131964738706e+03
3.317113869531616204e-04 1.315683972719279154e+03
3.347822171237604255e-04 1.327409591662300727e+03
3.378814756158077508e-04 1.339238876277355757e+03
3.410094256055189546e-04 1.351172721159067351e+03
3.441663327054725178e-04 1.363212028055944529e+03
3.473524649871642146e-04 1.375357705913070731e+03
3.505680930037714002e-04 1.387610670914688626e+03
3.538134898131282849e-04 1.399971846526627132e+03
3.570889310009109472e-04 1.412442163538570412e+03
3.603946947040396207e-04 1.425022560106169749e+03
3.637310616342983097e-04 1.437713981792972390e+03
3.670983151021695642e-04 1.450517381612145073e+03
3.704967410408927637e-04 1.463433720067995864e+03
3.739266280307459089e-04 1.476463965197275684e+03
3.773882673235480489e-04 1.489609092610223342e+03
3.808819528673926431e-04 1.502870085531374116e+03
3.844079813316093647e-04 1.516247934840086600e+03
3.879666521319537491e-04 1.529743639110782624e+03
3.915582674560335783e-04 1.543358204652881113e+03
3.951831322889704824e-04 1.557092645550424777e+03
